Kernel,Device,Image,Run_Number,Time_Seconds
301,GPU,images/pappagallo.jpg,1,18,4724
301,GPU,images/pappagallo.jpg,2,18,4279
301,GPU,images/pappagallo.jpg,3,18,4283
301,GPU,images/pappagallo.jpg,4,18,4377
301,GPU,images/pappagallo.jpg,5,18,4394
301,GPU,images/pappagallo.jpg,6,18,4431
301,GPU,images/pappagallo.jpg,7,18,4413
301,GPU,images/pappagallo.jpg,8,18,4533
301,GPU,images/pappagallo.jpg,9,18,4447
301,GPU,images/pappagallo.jpg,10,18,4423
101,GPU,images/pappagallone.jpg,1,8,43415
101,GPU,images/pappagallone.jpg,2,8,42726
101,GPU,images/pappagallone.jpg,3,8,4072
101,GPU,images/pappagallone.jpg,4,8,39456
101,GPU,images/pappagallone.jpg,5,8,39527
101,GPU,images/pappagallone.jpg,6,8,39107
101,GPU,images/pappagallone.jpg,7,8,39578
101,GPU,images/pappagallone.jpg,8,8,39284
101,GPU,images/pappagallone.jpg,9,8,39361
101,GPU,images/pappagallone.jpg,10,8,39288
101,GPU,images/pappagallo.jpg,1,2,09865
101,GPU,images/pappagallo.jpg,2,2,09736
101,GPU,images/pappagallo.jpg,3,2,09319
101,GPU,images/pappagallo.jpg,4,2,09537
101,GPU,images/pappagallo.jpg,5,2,09919
101,GPU,images/pappagallo.jpg,6,2,08979
101,GPU,images/pappagallo.jpg,7,2,09819
101,GPU,images/pappagallo.jpg,8,2,08921
101,GPU,images/pappagallo.jpg,9,2,09932
101,GPU,images/pappagallo.jpg,10,2,09791
201,GPU,images/pappagallo.jpg,1,8,21296
201,GPU,images/pappagallo.jpg,2,8,23391
201,GPU,images/pappagallo.jpg,3,8,23719
201,GPU,images/pappagallo.jpg,4,8,2379
201,GPU,images/pappagallo.jpg,5,8,23483
201,GPU,images/pappagallo.jpg,6,8,23917
201,GPU,images/pappagallo.jpg,7,8,23049
201,GPU,images/pappagallo.jpg,8,8,23627
201,GPU,images/pappagallo.jpg,9,8,23338
201,GPU,images/pappagallo.jpg,10,8,23931
