Kernel,Device,Image,Run_Number,Time_Seconds
301,GPU,images/pappagallone.jpg,1,ERROR
301,GPU,images/pappagallone.jpg,2,ERROR
301,GPU,images/pappagallone.jpg,3,ERROR
301,GPU,images/pappagallone.jpg,4,ERROR
301,GPU,images/pappagallone.jpg,5,ERROR
501,GPU,images/pappagallone.jpg,1,ERROR
501,GPU,images/pappagallone.jpg,2,ERROR
501,GPU,images/pappagallone.jpg,3,ERROR
501,GPU,images/pappagallone.jpg,4,ERROR
501,GPU,images/pappagallone.jpg,5,ERROR
701,GPU,images/pappagallone.jpg,1,ERROR
701,GPU,images/pappagallone.jpg,2,ERROR
701,GPU,images/pappagallone.jpg,3,ERROR
701,GPU,images/pappagallone.jpg,4,ERROR
701,GPU,images/pappagallone.jpg,5,ERROR
901,GPU,images/pappagallone.jpg,1,ERROR
901,GPU,images/pappagallone.jpg,2,ERROR
901,GPU,images/pappagallone.jpg,3,ERROR
901,GPU,images/pappagallone.jpg,4,ERROR
901,GPU,images/pappagallone.jpg,5,ERROR
1101,GPU,images/pappagallone.jpg,1,ERROR
1101,GPU,images/pappagallone.jpg,2,ERROR
1101,GPU,images/pappagallone.jpg,3,ERROR
1101,GPU,images/pappagallone.jpg,4,ERROR
1101,GPU,images/pappagallone.jpg,5,ERROR
1301,GPU,images/pappagallone.jpg,1,ERROR
1301,GPU,images/pappagallone.jpg,2,ERROR
1301,GPU,images/pappagallone.jpg,3,ERROR
1301,GPU,images/pappagallone.jpg,4,ERROR
1301,GPU,images/pappagallone.jpg,5,ERROR
301,GPU,images/pappagallone.jpg,1,0,998199
301,GPU,images/pappagallone.jpg,2,0,902463
301,GPU,images/pappagallone.jpg,3,0,901391
301,GPU,images/pappagallone.jpg,4,0,903976
301,GPU,images/pappagallone.jpg,5,0,899603
501,GPU,images/pappagallone.jpg,1,1,4343
501,GPU,images/pappagallone.jpg,2,1,43123
501,GPU,images/pappagallone.jpg,3,1,43052
501,GPU,images/pappagallone.jpg,4,1,43451
501,GPU,images/pappagallone.jpg,5,1,43013
701,GPU,images/pappagallone.jpg,1,1,96063
701,GPU,images/pappagallone.jpg,2,1,9584
701,GPU,images/pappagallone.jpg,3,1,96851
701,GPU,images/pappagallone.jpg,4,1,96266
701,GPU,images/pappagallone.jpg,5,1,96085
901,GPU,images/pappagallone.jpg,1,2,49075
901,GPU,images/pappagallone.jpg,2,2,4927
901,GPU,images/pappagallone.jpg,3,2,48951
901,GPU,images/pappagallone.jpg,4,2,49184
901,GPU,images/pappagallone.jpg,5,2,49283
1101,GPU,images/pappagallone.jpg,1,3,01135
1101,GPU,images/pappagallone.jpg,2,3,01706
1101,GPU,images/pappagallone.jpg,3,3,01752
1101,GPU,images/pappagallone.jpg,4,3,0183
1101,GPU,images/pappagallone.jpg,5,3,01792
1301,GPU,images/pappagallone.jpg,1,3,54444
1301,GPU,images/pappagallone.jpg,2,3,54281
1301,GPU,images/pappagallone.jpg,3,3,5389
1301,GPU,images/pappagallone.jpg,4,3,54169
1301,GPU,images/pappagallone.jpg,5,3,54771
301,GPU,images/pappagallo.jpg,1,0,170248
