Kernel,Device,Image,Run_Number,Time_Seconds
301,GPU,images/pappagallone.jpg,1,577,764
301,GPU,images/pappagallone.jpg,2,577,653
301,GPU,images/pappagallone.jpg,3,577,64
301,GPU,images/pappagallone.jpg,4,577,65
301,GPU,images/pappagallone.jpg,5,577,63
301,GPU,images/pappagallone.jpg,6,577,624
301,GPU,images/pappagallone.jpg,7,577,651
301,GPU,images/pappagallone.jpg,8,577,679
301,GPU,images/pappagallone.jpg,9,577,676
301,GPU,images/pappagallone.jpg,10,577,678
501,GPU,images/pappagallone.jpg,1,1593,22
501,GPU,images/pappagallone.jpg,2,1593,22
501,GPU,images/pappagallone.jpg,3,1593,2
501,GPU,images/pappagallone.jpg,4,1593,2
501,GPU,images/pappagallone.jpg,5,1593,19
501,GPU,images/pappagallone.jpg,6,1593,2
501,GPU,images/pappagallone.jpg,7,1593,2
501,GPU,images/pappagallone.jpg,8,1593,18
501,GPU,images/pappagallone.jpg,9,1593,18
501,GPU,images/pappagallone.jpg,10,1593,14
701,GPU,images/pappagallone.jpg,1,3111,71
701,GPU,images/pappagallone.jpg,2,3111,68
701,GPU,images/pappagallone.jpg,3,3111,69
701,GPU,images/pappagallone.jpg,4,3111,7
701,GPU,images/pappagallone.jpg,5,3114,5
701,GPU,images/pappagallone.jpg,6,3115,65
701,GPU,images/pappagallone.jpg,7,3115,64
701,GPU,images/pappagallone.jpg,8,3115,61
701,GPU,images/pappagallone.jpg,9,3115,6
701,GPU,images/pappagallone.jpg,10,3115,61
901,GPU,images/pappagallone.jpg,1,5136,64
901,GPU,images/pappagallone.jpg,2,5133,9
901,GPU,images/pappagallone.jpg,3,5133,78
901,GPU,images/pappagallone.jpg,4,5133,78
901,GPU,images/pappagallone.jpg,5,5133,8
901,GPU,images/pappagallone.jpg,6,5133,71
901,GPU,images/pappagallone.jpg,7,5133,55
901,GPU,images/pappagallone.jpg,8,5133,57
901,GPU,images/pappagallone.jpg,9,5133,54
901,GPU,images/pappagallone.jpg,10,5133,8
1001,GPU,images/pappagallone.jpg,1,6332,16
1001,GPU,images/pappagallone.jpg,2,6331,78
1101,GPU,images/pappagallone.jpg,1,7658,63
1101,GPU,images/pappagallone.jpg,2,7656,49
1101,GPU,images/pappagallone.jpg,3,7656,24
1101,GPU,images/pappagallone.jpg,4,7659,05
1101,GPU,images/pappagallone.jpg,5,7659,01
1301,GPU,images/pappagallone.jpg,1,10678,1
1301,GPU,images/pappagallone.jpg,2,10678,1
1301,GPU,images/pappagallone.jpg,3,10675,8
1301,GPU,images/pappagallone.jpg,4,10674,3
1301,GPU,images/pappagallone.jpg,5,10678
301,GPU,images/pappagallo.jpg,1,262,966
301,GPU,images/pappagallo.jpg,2,262,976
301,GPU,images/pappagallo.jpg,3,262,959
301,GPU,images/pappagallo.jpg,4,262,921
301,GPU,images/pappagallo.jpg,5,262,952
501,GPU,images/pappagallo.jpg,1,750,593
501,GPU,images/pappagallo.jpg,2,750,603
501,GPU,images/pappagallo.jpg,3,750,641
501,GPU,images/pappagallo.jpg,4,750,64
501,GPU,images/pappagallo.jpg,5,750,604
701,GPU,images/pappagallo.jpg,1,1471,58
701,GPU,images/pappagallo.jpg,2,1471,59
701,GPU,images/pappagallo.jpg,3,1471,57
701,GPU,images/pappagallo.jpg,4,1471,58
701,GPU,images/pappagallo.jpg,5,1471,55
901,GPU,images/pappagallo.jpg,1,2424,69
901,GPU,images/pappagallo.jpg,2,2424,69
901,GPU,images/pappagallo.jpg,3,2424,68
901,GPU,images/pappagallo.jpg,4,2424,56
901,GPU,images/pappagallo.jpg,5,2424,66
1101,GPU,images/pappagallo.jpg,1,3614,2
1101,GPU,images/pappagallo.jpg,2,3614,18
1101,GPU,images/pappagallo.jpg,3,3614,18
1101,GPU,images/pappagallo.jpg,4,3614,2
1101,GPU,images/pappagallo.jpg,5,3614,18
1301,GPU,images/pappagallo.jpg,1,5049,94
1301,GPU,images/pappagallo.jpg,2,5049,97
1301,GPU,images/pappagallo.jpg,3,5049,97
1301,GPU,images/pappagallo.jpg,4,5049,94
1301,GPU,images/pappagallo.jpg,5,5049,97
101,GPU,images/pappagallo.jpg,1,4,91237
101,GPU,images/pappagallo.jpg,2,4,70666
101,GPU,images/pappagallo.jpg,3,4,69035
101,GPU,images/pappagallo.jpg,4,4,70661
101,GPU,images/pappagallo.jpg,5,4,709
201,GPU,images/pappagallo.jpg,1,71,201
201,GPU,images/pappagallo.jpg,2,71,2081
201,GPU,images/pappagallo.jpg,3,71,1995
201,GPU,images/pappagallo.jpg,4,71,1839
201,GPU,images/pappagallo.jpg,5,71,1999
101,GPU,images/pappagallone.jpg,1,10,0929
101,GPU,images/pappagallone.jpg,2,10,0717
101,GPU,images/pappagallone.jpg,3,10,0519
101,GPU,images/pappagallone.jpg,4,10,0474
101,GPU,images/pappagallone.jpg,5,10,0437
201,GPU,images/pappagallone.jpg,1,143,261
201,GPU,images/pappagallone.jpg,2,143,28
201,GPU,images/pappagallone.jpg,3,143,264
201,GPU,images/pappagallone.jpg,4,143,259
201,GPU,images/pappagallone.jpg,5,143,268
