Width,Height,Device,Run_Number,Time_Seconds
1024,512,GPU,1,0,116599
1024,512,GPU,2,0,0538624
1024,512,GPU,3,0,0485837
1024,512,GPU,4,0,053139
1024,512,GPU,5,0,0530204
2048,1024,GPU,1,0,103631
2048,1024,GPU,2,0,109481
2048,1024,GPU,3,0,103479
2048,1024,GPU,4,0,104872
2048,1024,GPU,5,0,103397
4096,2048,GPU,1,0,202522
4096,2048,GPU,2,0,202143
4096,2048,GPU,3,0,205211
4096,2048,GPU,4,0,208639
4096,2048,GPU,5,0,210446
8192,4096,GPU,1,0,398928
8192,4096,GPU,2,0,400079
8192,4096,GPU,3,0,400522
8192,4096,GPU,4,0,38746
8192,4096,GPU,5,0,39098
16384,8192,GPU,1,0,793391
16384,8192,GPU,2,0,645533
16384,8192,GPU,3,0,646563
16384,8192,GPU,4,0,628263
16384,8192,GPU,5,0,656704
32768,16384,GPU,1,1,30925
32768,16384,GPU,2,1,31674
32768,16384,GPU,3,1,31262
32768,16384,GPU,4,1,3147
32768,16384,GPU,5,1,32652
65536,32768,GPU,1,2,77309
65536,32768,GPU,2,2,7843
65536,32768,GPU,3,2,76714
65536,32768,GPU,4,2,79316
65536,32768,GPU,5,2,74833
