Kernel,Device,Image,Run_Number,Time_Seconds
301,GPU,images/pappagallone.jpg,1,20,1901
301,GPU,images/pappagallone.jpg,2,20,1932
301,GPU,images/pappagallone.jpg,3,20,1923
301,GPU,images/pappagallone.jpg,4,20,193
301,GPU,images/pappagallone.jpg,5,20,1926
501,GPU,images/pappagallone.jpg,1,20,2218
501,GPU,images/pappagallone.jpg,2,20,2224
501,GPU,images/pappagallone.jpg,3,20,2205
501,GPU,images/pappagallone.jpg,4,20,2216
501,GPU,images/pappagallone.jpg,5,20,2199
701,GPU,images/pappagallone.jpg,1,20,2596
701,GPU,images/pappagallone.jpg,2,20,261
701,GPU,images/pappagallone.jpg,3,20,2637
701,GPU,images/pappagallone.jpg,4,20,2614
701,GPU,images/pappagallone.jpg,5,20,2601
901,GPU,images/pappagallone.jpg,1,20,322
901,GPU,images/pappagallone.jpg,2,20,3164
901,GPU,images/pappagallone.jpg,3,20,3202
901,GPU,images/pappagallone.jpg,4,20,3158
901,GPU,images/pappagallone.jpg,5,20,3212
1101,GPU,images/pappagallone.jpg,1,20,3722
1101,GPU,images/pappagallone.jpg,2,20,3927
1101,GPU,images/pappagallone.jpg,3,20,3899
1101,GPU,images/pappagallone.jpg,4,20,3896
1101,GPU,images/pappagallone.jpg,5,20,3931
1301,GPU,images/pappagallone.jpg,1,20,7152
1301,GPU,images/pappagallone.jpg,2,20,544
1301,GPU,images/pappagallone.jpg,3,20,4913
1301,GPU,images/pappagallone.jpg,4,20,5205
1301,GPU,images/pappagallone.jpg,5,20,6701
301,GPU,images/pappagallo.jpg,1,5,79082
301,GPU,images/pappagallo.jpg,2,5,78759
301,GPU,images/pappagallo.jpg,3,5,79153
301,GPU,images/pappagallo.jpg,4,5,78578
301,GPU,images/pappagallo.jpg,5,5,7848
501,GPU,images/pappagallo.jpg,1,16,0414
501,GPU,images/pappagallo.jpg,2,16,0483
501,GPU,images/pappagallo.jpg,3,16,0529
501,GPU,images/pappagallo.jpg,4,16,0461
501,GPU,images/pappagallo.jpg,5,16,0519
701,GPU,images/pappagallo.jpg,1,20,129
701,GPU,images/pappagallo.jpg,2,20,1302
701,GPU,images/pappagallo.jpg,3,20,1333
701,GPU,images/pappagallo.jpg,4,20,126
701,GPU,images/pappagallo.jpg,5,20,1298
901,GPU,images/pappagallo.jpg,1,20,1767
901,GPU,images/pappagallo.jpg,2,20,1826
901,GPU,images/pappagallo.jpg,3,20,1776
901,GPU,images/pappagallo.jpg,4,20,1875
901,GPU,images/pappagallo.jpg,5,20,1845
1101,GPU,images/pappagallo.jpg,1,20,2289
1101,GPU,images/pappagallo.jpg,2,20,2512
1101,GPU,images/pappagallo.jpg,3,20,2426
1101,GPU,images/pappagallo.jpg,4,20,2493
1101,GPU,images/pappagallo.jpg,5,20,252
1301,GPU,images/pappagallo.jpg,1,20,3298
1301,GPU,images/pappagallo.jpg,2,20,3547
1301,GPU,images/pappagallo.jpg,3,20,3748
1301,GPU,images/pappagallo.jpg,4,20,332
1301,GPU,images/pappagallo.jpg,5,20,3875
101,GPU,images/pappagallo.jpg,1,0,697144
101,GPU,images/pappagallo.jpg,2,0,691221
101,GPU,images/pappagallo.jpg,3,0,692347
101,GPU,images/pappagallo.jpg,4,0,691215
101,GPU,images/pappagallo.jpg,5,0,691017
201,GPU,images/pappagallo.jpg,1,2,58824
201,GPU,images/pappagallo.jpg,2,2,59255
201,GPU,images/pappagallo.jpg,3,2,59186
201,GPU,images/pappagallo.jpg,4,2,59041
201,GPU,images/pappagallo.jpg,5,2,59038
101,GPU,images/pappagallone.jpg,1,2,83216
101,GPU,images/pappagallone.jpg,2,2,79828
101,GPU,images/pappagallone.jpg,3,2,80694
101,GPU,images/pappagallone.jpg,4,2,79355
101,GPU,images/pappagallone.jpg,5,2,78896
201,GPU,images/pappagallone.jpg,1,10,3596
201,GPU,images/pappagallone.jpg,2,10,4136
201,GPU,images/pappagallone.jpg,3,10,3937
201,GPU,images/pappagallone.jpg,4,10,4161
201,GPU,images/pappagallone.jpg,5,10,3939
