Kernel,Device,Image,Run_Number,Time_Seconds
301,GPU,images/pappagallone.jpg,1,23,4268
301,GPU,images/pappagallone.jpg,2,23,4793
301,GPU,images/pappagallone.jpg,3,23,4993
301,GPU,images/pappagallone.jpg,4,23,5513
301,GPU,images/pappagallone.jpg,5,23,451
501,GPU,images/pappagallone.jpg,1,65,1527
501,GPU,images/pappagallone.jpg,2,65,1564
501,GPU,images/pappagallone.jpg,3,65,2351
501,GPU,images/pappagallone.jpg,4,65,2375
501,GPU,images/pappagallone.jpg,5,65,231
701,GPU,images/pappagallone.jpg,1,128,622
701,GPU,images/pappagallone.jpg,2,128,522
701,GPU,images/pappagallone.jpg,3,128,67
701,GPU,images/pappagallone.jpg,4,128,526
701,GPU,images/pappagallone.jpg,5,128,44
901,GPU,images/pappagallone.jpg,1,213,012
901,GPU,images/pappagallone.jpg,2,212,991
901,GPU,images/pappagallone.jpg,3,212,961
901,GPU,images/pappagallone.jpg,4,213,07
901,GPU,images/pappagallone.jpg,5,212,932
1101,GPU,images/pappagallone.jpg,1,318,508
1101,GPU,images/pappagallone.jpg,2,318,344
1101,GPU,images/pappagallone.jpg,3,318,341
1101,GPU,images/pappagallone.jpg,4,318,467
1101,GPU,images/pappagallone.jpg,5,318,44
1301,GPU,images/pappagallone.jpg,1,450,421
1301,GPU,images/pappagallone.jpg,2,450,501
1301,GPU,images/pappagallone.jpg,3,450,257
1301,GPU,images/pappagallone.jpg,4,450,558
1301,GPU,images/pappagallone.jpg,5,450,651
301,GPU,images/pappagallo.jpg,1,5,92795
301,GPU,images/pappagallo.jpg,2,5,92322
301,GPU,images/pappagallo.jpg,3,5,91319
301,GPU,images/pappagallo.jpg,4,5,90998
301,GPU,images/pappagallo.jpg,5,5,9063
501,GPU,images/pappagallo.jpg,1,16,3915
501,GPU,images/pappagallo.jpg,2,16,4014
501,GPU,images/pappagallo.jpg,3,16,4018
501,GPU,images/pappagallo.jpg,4,16,4029
501,GPU,images/pappagallo.jpg,5,16,3952
701,GPU,images/pappagallo.jpg,1,32,1218
701,GPU,images/pappagallo.jpg,2,32,132
701,GPU,images/pappagallo.jpg,3,32,1476
701,GPU,images/pappagallo.jpg,4,32,1346
701,GPU,images/pappagallo.jpg,5,32,1367
901,GPU,images/pappagallo.jpg,1,53,5562
901,GPU,images/pappagallo.jpg,2,53,5732
901,GPU,images/pappagallo.jpg,3,53,6159
901,GPU,images/pappagallo.jpg,4,53,2803
901,GPU,images/pappagallo.jpg,5,53,4252
1101,GPU,images/pappagallo.jpg,1,80,8435
1101,GPU,images/pappagallo.jpg,2,80,8879
1101,GPU,images/pappagallo.jpg,3,80,6165
1101,GPU,images/pappagallo.jpg,4,80,6846
1101,GPU,images/pappagallo.jpg,5,80,6316
1301,GPU,images/pappagallo.jpg,1,114,722
1301,GPU,images/pappagallo.jpg,2,114,521
1301,GPU,images/pappagallo.jpg,3,114,578
1301,GPU,images/pappagallo.jpg,4,114,464
1301,GPU,images/pappagallo.jpg,5,114,534
101,GPU,images/pappagallo.jpg,1,0,718115
101,GPU,images/pappagallo.jpg,2,0,71082
101,GPU,images/pappagallo.jpg,3,0,711708
101,GPU,images/pappagallo.jpg,4,0,713428
101,GPU,images/pappagallo.jpg,5,0,71159
201,GPU,images/pappagallo.jpg,1,2,65023
201,GPU,images/pappagallo.jpg,2,2,65212
201,GPU,images/pappagallo.jpg,3,2,65461
201,GPU,images/pappagallo.jpg,4,2,64843
201,GPU,images/pappagallo.jpg,5,2,65493
101,GPU,images/pappagallone.jpg,1,2,84695
101,GPU,images/pappagallone.jpg,2,2,87827
101,GPU,images/pappagallone.jpg,3,2,88935
101,GPU,images/pappagallone.jpg,4,2,82677
101,GPU,images/pappagallone.jpg,5,2,84828
201,GPU,images/pappagallone.jpg,1,10,5727
201,GPU,images/pappagallone.jpg,2,10,518
201,GPU,images/pappagallone.jpg,3,10,5901
201,GPU,images/pappagallone.jpg,4,10,5391
201,GPU,images/pappagallone.jpg,5,10,5891
