Width,Height,Device,Run_Number,Time_Seconds
1024,512,GPU,1,0,00442681
1024,512,GPU,2,0,00445056
1024,512,GPU,3,0,0053241
1024,512,GPU,4,0,00446634
1024,512,GPU,5,0,00450935
2048,1024,GPU,1,0,00809317
2048,1024,GPU,2,0,00813369
2048,1024,GPU,3,0,0081823
2048,1024,GPU,4,0,00808963
2048,1024,GPU,5,0,0090537
4096,2048,GPU,1,0,0155883
4096,2048,GPU,2,0,0164568
4096,2048,GPU,3,0,0166053
4096,2048,GPU,4,0,0155495
4096,2048,GPU,5,0,0156398
8192,4096,GPU,1,0,0295109
8192,4096,GPU,2,0,0291568
8192,4096,GPU,3,0,0292538
8192,4096,GPU,4,0,0294539
8192,4096,GPU,5,0,0324686
16384,8192,GPU,1,0,0747809
16384,8192,GPU,2,0,0748143
16384,8192,GPU,3,0,0749255
16384,8192,GPU,4,0,074919
16384,8192,GPU,5,0,0749102
32768,16384,GPU,1,0,151624
32768,16384,GPU,2,0,142168
32768,16384,GPU,3,0,144897
32768,16384,GPU,4,0,143532
32768,16384,GPU,5,0,143357
65536,32768,GPU,1,ERROR
65536,32768,GPU,2,ERROR
65536,32768,GPU,3,ERROR
65536,32768,GPU,4,ERROR
65536,32768,GPU,5,ERROR
